id,title,agency,deadline,status,source_url
1,Penyediaan Jasa-jasa Huff and Puff untuk Steam Generator #04,EMP BENTU LIMITED,05 Feb 2026,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs
2,Penyediaan Jasa-jasa Survei Microseepage,EMP BENTU LIMITED,05 Feb 2026,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs
3,PQ No. SX14059740A : Provision of Slickline Portable and Associated Services for Offshore Area,PT PERTAMINA HULU MAHAKAM,06 Feb 2026,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs
4,Pengadaan Pedestal Crane Untuk Proyek Pengembangan Lapangan Risma,PT PERTAMINA EP,05 Feb 2026,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs
5,Pengadaan Material SBNP Tiaka Terminal.,JOB PERTAMINA - MEDCO E&P TOMORI SULAWESI,04 Feb 2026,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs
6,PQ 373 - PROVISION OF SUPPLY & SERVICES WELLHEAD AND X-MAS TREE FOR HIDAYAH & BUKIT PANJANG DEVELOPM,PC KETAPANG II LTD,04 Feb 2026,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs
